customer_id,claim_id,incident_cause,claim_date,claim_area
1163515,94303580,Crime,04/25/2017,Auto
18361978,39647651,Other causes,08/31/2017,Auto
94953428,97983922,Other causes,06/18/2017,Auto
42333031,42420540,Other causes,02/22/2018,Auto
91786228,25108581,Other driver error,06/23/2018,Auto
61051505,54192772,Other driver error,07/01/2017,Auto
8132649,47783756,Other driver error,11/20/2017,Auto
49428676,14730852,Other causes,06/17/2018,Auto
77436411,37727681,Other driver error,02/02/2018,Auto
44319192,87229793,Other causes,04/10/2018,Auto
57510487,73138939,Driver error,12/10/2017,Auto
62797342,23504103,Other driver error,02/09/2018,Auto
56923917,29613369,Other driver error,05/21/2018,Auto
83088652,21972507,Driver error,01/14/2017,Auto
53087364,42737631,Other causes,07/22/2017,Home
9089663,95352573,Other driver error,11/20/2017,Auto
83290720,43973221,Driver error,09/26/2018,Auto
78364565,79089153,Other causes,02/10/2017,Auto
99761663,37305754,Natural causes,04/04/2018,Auto
6298259,55252454,Natural causes,05/29/2017,Auto
51936868,20332975,Natural causes,08/16/2018,Auto
35907845,69101899,Crime,05/14/2018,Auto
17390816,49234022,Natural causes,03/29/2017,Auto
9908654,85585944,Other driver error,06/23/2018,Auto
47228798,35407789,Crime,01/21/2017,Auto
11593991,26332402,Other causes,03/01/2018,Auto
15036122,50337100,Other driver error,07/20/2018,Auto
59046302,1886311,Driver error,04/04/2018,Auto
74058124,84635473,Driver error,01/13/2018,Auto
95221640,99210077,Crime,05/21/2018,Auto
5956033,57876931,Other driver error,02/09/2018,Auto
91462331,11951632,Driver error,02/15/2018,Auto
7946799,61170397,Other causes,07/27/2018,Auto
83884401,66546485,Driver error,05/22/2017,Auto
36498462,62769771,Driver error,06/11/2017,Auto
88191021,87452238,Driver error,10/04/2017,Auto
88567908,99573716,Driver error,01/27/2017,Auto
72896975,39128289,Other driver error,07/08/2017,Auto
85650096,64573390,Crime,08/03/2018,Auto
51349085,2181243,Crime,10/17/2017,Auto
90202451,51685791,Other driver error,11/20/2017,Auto
55180831,1633198,Other driver error,09/07/2017,Auto
14433043,15165423,Driver error,06/30/2018,Auto
56590042,76552623,Other causes,11/06/2017,Auto
43870673,64731876,Other causes,05/22/2017,Auto
84734050,95376481,Crime,05/28/2018,Auto
73246256,21229844,Crime,11/13/2017,Auto
2632562,4506676,Other driver error,05/14/2018,Home
74125758,712628,Other causes,11/27/2017,Auto
92752865,82144259,Driver error,04/25/2017,Auto
47086007,93009471,Other causes,03/09/2017,Auto
33987747,23721504,Driver error,01/14/2017,Auto
37312925,43899763,Driver error,10/31/2017,Auto
13233814,4821698,Other causes,07/08/2017,Auto
32561536,34488157,Natural causes,11/06/2017,Auto
73456835,79953107,Other driver error,10/16/2018,Auto
84767457,77727200,Driver error,12/03/2017,Auto
31901720,33038715,Crime,03/21/2018,Auto
67885239,10744544,Driver error,05/28/2018,Auto
94448966,67043170,Other driver error,10/16/2018,Auto
94633091,98303926,Crime,06/25/2017,Auto
90116906,84863978,Driver error,11/13/2017,Auto
82832313,48203523,Other driver error,12/03/2017,Auto
87993949,73460630,Other causes,06/23/2018,Auto
61810954,65335959,Other driver error,09/19/2018,Auto
55782839,38446319,Other causes,12/17/2017,Auto
39587790,39131766,Other causes,01/01/2017,Auto
14293434,9961723,Other driver error,05/22/2017,Home
46620413,8405500,Other causes,03/02/2017,Auto
53798973,58103215,Other driver error,05/01/2018,Auto
15556454,7316148,Crime,03/14/2018,Auto
61497833,35026470,Other driver error,11/06/2017,Auto
92889077,57560277,Natural causes,03/08/2018,Home
19171044,19911335,Driver error,04/12/2017,Auto
93291407,54506772,Other driver error,07/28/2017,Auto
96710523,11618238,Other causes,03/21/2018,Home
52542420,46248222,Other driver error,04/10/2018,Auto
37741743,13774284,Natural causes,03/08/2018,Auto
48145469,30488859,Other causes,04/10/2018,Auto
25709472,52959888,Other driver error,10/23/2018,Auto
58402401,4112041,Other causes,09/12/2018,Auto
23092790,12179959,Crime,08/03/2018,Auto
62476442,59404655,Natural causes,05/15/2017,Auto
39943087,5176652,Other driver error,03/16/2017,Auto
41265642,1657284,Crime,07/22/2017,Auto
73383008,72074471,Other driver error,02/09/2018,Auto
77896466,36664338,Driver error,12/17/2017,Auto
83526368,50826770,Crime,10/03/2018,Auto
31439710,64209730,Other driver error,07/20/2018,Home
30227653,49955266,Other driver error,09/07/2017,Auto
86993944,44581152,Other driver error,12/30/2017,Auto
65728108,32116508,Other causes,10/09/2018,Auto
45539668,48559754,Other driver error,12/30/2017,Auto
3159546,26716331,Other driver error,04/25/2017,Auto
88449349,74738945,Other causes,09/12/2018,Auto
35937389,30532684,Natural causes,02/23/2017,Auto
19441247,81488988,Natural causes,07/22/2017,Auto
7208859,71767146,Crime,07/01/2017,Auto
65950591,67042203,Driver error,01/14/2017,Auto
2327487,66578763,Driver error,05/07/2018,Auto
30722342,30930636,Driver error,04/04/2018,Home
31289360,30119116,Other driver error,02/23/2017,Auto
24826170,45189268,Driver error,07/08/2017,Auto
14860484,5567470,Other causes,03/29/2017,Auto
39642700,46868258,Driver error,12/10/2017,Auto
3689105,74988783,Crime,04/18/2017,Auto
58850120,80080381,Crime,02/23/2017,Auto
76965994,50617945,Crime,03/09/2017,Auto
14490971,3589979,Crime,09/19/2018,Auto
88277241,33643946,Other causes,07/08/2017,Auto
87386746,71464126,Other causes,07/20/2018,Auto
55157616,19241230,Other driver error,04/25/2017,Auto
55593844,8499165,Other causes,07/22/2017,Auto
72556809,65264955,Other causes,08/16/2018,Auto
45653187,66703144,Natural causes,04/04/2018,Home
48538925,66892177,Other causes,06/04/2017,Auto
68724425,75262517,Natural causes,06/10/2018,Auto
50817031,7883163,Crime,01/26/2018,Auto
16836323,88126193,Crime,01/14/2017,Auto
72701589,57237955,Driver error,07/20/2018,Auto
88126167,26752193,Crime,04/18/2017,Auto
50642114,94297538,Other driver error,01/06/2018,Auto
32180678,90714815,Other causes,08/11/2017,Auto
74155265,25647821,Natural causes,01/01/2017,Auto
26168099,56330110,Natural causes,05/07/2018,Auto
804961,87184588,Other causes,10/10/2017,Auto
25823839,18636027,Driver error,10/10/2017,Auto
61745840,90591192,Other driver error,01/01/2017,Home
86024944,18700750,Other driver error,07/15/2017,Auto
40080423,72789616,Other driver error,08/30/2018,Auto
14275512,19132019,Driver error,10/09/2018,Auto
70442756,21361160,Natural causes,01/06/2018,Auto
36829984,80894091,Other driver error,02/22/2018,Auto
68772500,21550521,Driver error,08/30/2018,Auto
154557,69348631,Driver error,04/10/2018,Auto
97640137,86624774,Driver error,02/02/2018,Auto
49270602,2040094,Other causes,06/17/2018,Auto
25021031,93354997,Other causes,01/06/2018,Auto
2590748,61761215,Other driver error,10/03/2018,Auto
98905793,17871003,Other driver error,09/19/2018,Auto
39495715,90504501,Driver error,08/31/2017,Auto
64840478,23636125,Other driver error,01/01/2017,Auto
30541131,73972734,Other driver error,08/11/2017,Home
51503228,2322078,Driver error,12/17/2017,Auto
57959733,94870378,Other driver error,07/22/2017,Auto
82415154,46572741,Other driver error,06/11/2017,Auto
67861420,50960913,Other causes,02/15/2018,Auto
16811546,91841652,Crime,08/10/2018,Auto
74840885,73800450,Crime,03/14/2018,Home
95719884,14457951,Crime,05/22/2017,Auto
22856223,82692173,Other causes,04/12/2017,Auto
26965990,2262550,Other causes,02/23/2017,Auto
48447568,91210035,Driver error,10/24/2017,Auto
16102401,19333178,Driver error,08/18/2017,Home
26448215,36685947,Natural causes,02/03/2017,Auto
40922910,84933468,Other driver error,02/03/2017,Auto
43293983,61672806,Other causes,08/11/2017,Auto
51195864,1189987,Other driver error,09/20/2017,Auto
36395486,43722644,Other causes,01/07/2017,Home
32850276,24499353,Natural causes,10/09/2018,Home
94041088,70086627,Natural causes,12/10/2017,Home
90718924,97233183,Other causes,01/21/2017,Home
51278451,70332189,Other driver error,03/01/2018,Auto
16868327,3883874,Driver error,01/14/2017,Auto
32269248,94714143,Other driver error,07/07/2018,Auto
35410919,22295924,Crime,06/04/2017,Auto
20716946,80976947,Other driver error,03/21/2018,Auto
90102508,93075008,Natural causes,03/28/2018,Auto
40744509,46968995,Other causes,06/25/2017,Auto
51460517,23840141,Other causes,06/18/2017,Auto
9677945,5694962,Other causes,09/26/2018,Auto
34297743,3485777,Natural causes,07/28/2017,Auto
17682060,49735712,Crime,10/30/2018,Home
29750601,718760,Other driver error,10/24/2017,Auto
97698815,81849361,Natural causes,02/17/2017,Auto
28920170,19639145,Crime,11/13/2017,Auto
55572419,6535473,Other causes,05/09/2017,Auto
77219712,61374372,Other causes,01/01/2017,Auto
39286853,24759210,Other driver error,10/03/2018,Auto
47226965,6795457,Driver error,09/07/2017,Auto
68757979,27087847,Natural causes,10/31/2017,Auto
69956308,93818470,Natural causes,01/13/2018,Auto
47603757,65784642,Driver error,04/24/2018,Auto
83534717,98203403,Natural causes,04/12/2017,Auto
40480522,52377605,Driver error,10/30/2018,Auto
86597605,79350008,Driver error,09/27/2017,Auto
7829022,35620656,Driver error,11/13/2017,Auto
77985379,95022138,Other driver error,07/01/2017,Auto
2826434,24834777,Driver error,04/25/2017,Home
16548727,94426134,Other causes,11/06/2017,Auto
94267140,67394855,Other driver error,04/12/2017,Auto
5637733,15859475,Crime,10/10/2017,Auto
684748,7238381,Other driver error,07/14/2018,Auto
65047878,27131115,Natural causes,02/03/2017,Auto
84614509,63175077,Driver error,06/23/2018,Home
93766634,4869668,Other causes,06/23/2018,Auto
68712439,29078722,Other driver error,06/17/2018,Home
88785895,62679663,Driver error,02/22/2018,Auto
33924586,29981557,Natural causes,04/04/2018,Auto
1852176,59259291,Driver error,04/17/2018,Auto
58107776,35839635,Other driver error,04/25/2017,Auto
30743608,46356995,Other causes,03/22/2017,Auto
50530333,44524224,Crime,06/04/2017,Auto
29282358,56720636,Other driver error,01/13/2018,Auto
55375167,5854580,Crime,04/05/2017,Home
37692329,24230132,Driver error,08/16/2018,Auto
2753882,13479108,Natural causes,07/01/2017,Auto
88219691,63532473,Other causes,09/14/2017,Auto
67722830,25246596,Driver error,08/04/2017,Auto
11321295,31574986,Driver error,02/03/2017,Auto
28502965,6267263,Natural causes,10/10/2017,Auto
51782731,99444302,Other driver error,02/03/2017,Home
76395629,75651365,Other causes,01/27/2017,Auto
20960664,18499217,Natural causes,08/10/2018,Auto
79683883,56848907,Other driver error,09/07/2017,Auto
33388786,30755644,Other causes,04/18/2017,Auto
52361935,2741337,Natural causes,10/17/2017,Auto
97038550,86070727,Other driver error,02/22/2018,Home
25911554,2913034,Natural causes,06/03/2018,Auto
43834942,74906328,Natural causes,07/01/2017,Auto
17242900,95114913,Crime,11/13/2017,Auto
54094880,34621474,Other driver error,02/17/2017,Auto
59809467,52223434,Other driver error,05/28/2018,Auto
62204138,93028492,Driver error,10/31/2017,Auto
93993324,76384782,Driver error,06/04/2017,Auto
84995304,79219792,Other driver error,08/30/2018,Home
70955654,25014071,Crime,10/04/2017,Home
43274276,86017636,Other driver error,02/15/2018,Auto
23236713,45535504,Driver error,03/14/2018,Auto
76501371,80169462,Driver error,02/15/2018,Auto
56554262,42474249,Other causes,10/09/2018,Auto
48123202,4567648,Other driver error,08/31/2017,Auto
93915431,99775483,Other causes,10/30/2018,Auto
38560100,8322480,Other driver error,03/16/2017,Auto
31544049,83960449,Driver error,11/27/2017,Auto
68615086,66563034,Driver error,07/07/2018,Auto
55535045,95437929,Driver error,04/05/2017,Auto
17988592,94981713,Other causes,07/28/2017,Auto
4883962,59593960,Driver error,07/15/2017,Auto
33812279,4367748,Other causes,05/22/2017,Auto
81854173,96241162,Other driver error,05/09/2017,Auto
24579061,11682102,Natural causes,01/07/2017,Auto
29478976,26104084,Crime,05/21/2018,Auto
10462042,38641457,Other causes,08/03/2018,Home
52265112,51316495,Other driver error,06/11/2017,Auto
53900680,68533229,Other causes,03/29/2017,Home
69784779,70210720,Other driver error,05/21/2018,Auto
26810768,38508652,Other causes,07/01/2017,Auto
82637319,10080081,Other causes,10/31/2017,Auto
69546065,6515806,Crime,06/18/2017,Auto
67427492,2056210,Driver error,05/29/2017,Auto
18213216,2581621,Other causes,09/12/2018,Auto
98204394,25688619,Driver error,02/10/2017,Home
63413368,43680480,Driver error,06/30/2018,Auto
91136854,14698666,Other driver error,01/06/2018,Auto
11187680,18917146,Other driver error,03/29/2017,Auto
88205075,82224237,Other causes,03/16/2017,Auto
40728123,52339239,Other causes,02/10/2017,Auto
65176092,9476314,Other causes,01/01/2017,Auto
84229777,56133273,Natural causes,08/11/2017,Auto
76093960,79752814,Other causes,05/29/2017,Auto
36994344,71517851,Natural causes,07/27/2018,Auto
68043300,29519925,Other driver error,03/21/2018,Auto
28901669,2980099,Crime,02/02/2018,Auto
86916099,59959117,Other driver error,04/05/2017,Auto
29826894,87350000,Other driver error,11/06/2017,Auto
79637467,87230026,Other causes,02/17/2017,Auto
36632227,9588683,Other driver error,03/09/2017,Auto
77510822,87329176,Other driver error,10/30/2018,Auto
2651069,3329988,Other driver error,09/07/2017,Auto
8150738,72207767,Natural causes,05/01/2018,Auto
67268108,96723243,Other driver error,03/08/2018,Auto
53907868,14024069,Other causes,04/17/2018,Auto
86246733,74762827,Driver error,12/10/2017,Auto
45568489,78826857,Other driver error,05/09/2017,Auto
28032985,96335300,Other causes,03/02/2017,Auto
33210182,45953414,Crime,01/13/2018,Auto
24731784,81667658,Natural causes,07/07/2018,Auto
36126424,5222877,Driver error,10/23/2018,Auto
95452498,76523655,Other causes,04/05/2017,Auto
22756942,70512964,Driver error,01/01/2017,Auto
62489316,13217364,Other causes,08/31/2017,Auto
4825461,6174643,Other driver error,07/15/2017,Auto
63915259,89056979,Other causes,09/26/2018,Home
6723724,94690483,Natural causes,09/27/2017,Auto
51719336,84029944,Other causes,01/20/2018,Home
89808931,52259939,Driver error,07/20/2018,Home
55105629,40350951,Natural causes,10/17/2017,Auto
79076502,71274497,Other driver error,10/31/2017,Auto
81131066,49550521,Other causes,12/30/2017,Auto
75995055,45433267,Other causes,06/17/2018,Auto
24425429,43558718,Natural causes,10/16/2018,Auto
51382348,3465669,Natural causes,02/23/2017,Home
18842829,79446773,Driver error,03/02/2017,Auto
98180346,172149,Other causes,06/04/2017,Auto
53013094,52442756,Natural causes,06/30/2018,Auto
25263633,79612644,Other causes,06/10/2018,Auto
16444738,61900903,Other causes,08/31/2017,Auto
64231993,15605014,Natural causes,03/01/2018,Home
89530919,81628285,Driver error,04/24/2018,Auto
38011078,98795403,Crime,10/30/2018,Auto
76314493,49252712,Other driver error,09/14/2017,Home
51975640,60882662,Other driver error,10/16/2018,Auto
47593642,35866339,Crime,04/04/2018,Auto
42439009,80529502,Driver error,03/01/2018,Auto
51613894,41063309,Other causes,03/28/2018,Home
49078798,69278867,Natural causes,02/02/2018,Auto
17822772,49821811,Driver error,03/14/2018,Auto
94643289,34596802,Driver error,03/14/2018,Auto
47535244,3366766,Natural causes,06/10/2018,Auto
70770204,18972174,Driver error,04/17/2018,Auto
92171044,32084957,Driver error,07/15/2017,Auto
98218159,44626119,Other driver error,12/10/2017,Auto
24112592,18497939,Other driver error,03/28/2018,Auto
97053819,2031695,Other causes,06/03/2018,Auto
88484857,31272774,Other causes,09/19/2018,Auto
89965541,62487859,Driver error,12/10/2017,Auto
96431710,1374365,Crime,08/24/2017,Auto
13059025,33911305,Natural causes,07/28/2017,Auto
49481916,3311108,Other causes,09/19/2018,Auto
10956208,28520503,Natural causes,02/02/2018,Auto
43059280,76387481,Natural causes,06/25/2017,Home
92971195,92399694,Other driver error,09/26/2018,Home
97578924,49171996,Other causes,08/23/2018,Home
81790039,33733739,Driver error,03/22/2017,Auto
36812323,27931854,Other driver error,01/27/2017,Auto
63544225,86062955,Crime,08/30/2018,Auto
4669941,70068,Driver error,11/06/2017,Auto
64395359,77337624,Other causes,05/22/2017,Auto
25634799,36457152,Driver error,01/01/2017,Auto
31654316,67359535,Other driver error,04/05/2017,Home
49499709,38907463,Driver error,05/15/2017,Auto
45415342,43384286,Other causes,06/03/2018,Auto
72734097,18696192,Driver error,07/01/2017,Auto
94707309,27981652,Crime,02/17/2017,Auto
84750181,34691767,Other driver error,03/09/2017,Home
58380749,47497964,Other driver error,12/10/2017,Auto
42345842,6794881,Other causes,12/24/2017,Auto
54103924,26044648,Driver error,04/24/2018,Auto
48099288,10605433,Other causes,10/09/2018,Auto
57896241,11113092,Driver error,04/05/2017,Auto
70730377,83523623,Driver error,03/14/2018,Auto
6125426,61143364,Other driver error,01/13/2018,Auto
48227009,71246528,Natural causes,01/20/2018,Auto
86308184,66730599,Other driver error,08/04/2017,Auto
69065193,94242984,Other driver error,10/09/2018,Auto
79846638,95444389,Crime,03/09/2017,Auto
38047917,47371265,Driver error,12/17/2017,Auto
73611258,18736499,Other driver error,08/11/2017,Auto
14696479,58956535,Other causes,02/23/2017,Auto
25166037,6683382,Other driver error,04/12/2017,Home
1123356,50906515,Crime,08/23/2018,Auto
97162684,71712774,Other causes,08/18/2017,Auto
95055469,24181936,Crime,08/18/2017,Auto
56985179,7575702,Driver error,10/17/2017,Auto
69039320,25993027,Driver error,06/03/2018,Auto
84514444,22476290,Other causes,07/08/2017,Auto
79953263,75954321,Other causes,03/28/2018,Auto
15557396,50921792,Other causes,10/17/2017,Auto
95002919,21915563,Natural causes,06/30/2018,Home
7612094,75623323,Natural causes,09/06/2018,Auto
53260501,48509529,Natural causes,03/02/2017,Auto
92072156,87476916,Natural causes,09/12/2018,Auto
77570823,25416969,Natural causes,06/25/2017,Auto
69010101,24709692,Natural causes,04/25/2017,Auto
1223055,26773102,Natural causes,10/31/2017,Auto
9884792,92714664,Driver error,09/14/2017,Auto
1144598,3502909,Driver error,03/22/2017,Auto
59716520,26836009,Other causes,11/27/2017,Home
59056552,43253975,Driver error,06/30/2018,Auto
25164999,9075822,Other driver error,03/08/2018,Auto
70761779,34549771,Other causes,08/24/2017,Auto
62934102,1756485,Other driver error,05/21/2018,Auto
11472207,75847149,Natural causes,12/30/2017,Auto
97856694,1624094,Natural causes,03/02/2017,Auto
86818440,13132889,Other causes,03/21/2018,Auto
66433138,22577147,Driver error,02/23/2017,Auto
87806611,24589924,Other causes,03/14/2018,Auto
36252121,43099766,Driver error,11/06/2017,Auto
19916012,85048276,Driver error,01/14/2017,Auto
79440308,43196799,Other causes,05/22/2017,Auto
23116437,49818123,Other driver error,01/21/2017,Auto
58957713,7292900,Other causes,07/22/2017,Auto
4798021,76290659,Other driver error,05/01/2018,Auto
83441797,84441293,Other driver error,05/07/2018,Auto
30154531,12379231,Other causes,10/04/2017,Auto
38117638,47755129,Other driver error,02/03/2017,Auto
12112711,30272514,Other driver error,03/16/2017,Auto
4652602,86258669,Other causes,08/16/2018,Auto
45187280,95320599,Other causes,08/11/2017,Auto
77930023,59321838,Driver error,07/01/2017,Auto
58934617,72555621,Other causes,09/19/2018,Auto
41182960,83266482,Other causes,07/27/2018,Home
64488618,88595857,Driver error,10/17/2017,Auto
59793026,76745084,Other driver error,09/07/2017,Auto
86621072,16468239,Other causes,07/20/2018,Auto
47250458,51476665,Driver error,12/30/2017,Auto
35163792,45642452,Other causes,07/20/2018,Auto
93871952,72815943,Other driver error,07/20/2018,Auto
32464636,99281527,Driver error,10/31/2017,Auto
7583158,14638010,Other driver error,03/16/2017,Auto
80670612,8962657,Other driver error,04/10/2018,Auto
21840201,58488479,Driver error,02/09/2018,Auto
29130403,40759519,Driver error,10/03/2018,Auto
89806715,32110693,Crime,08/30/2018,Auto
56016139,93285588,Natural causes,04/04/2018,Auto
20028241,88210615,Driver error,05/29/2017,Auto
98341654,84019240,Crime,12/03/2017,Auto
44643917,21491548,Other driver error,09/06/2018,Auto
76185878,45568058,Driver error,11/27/2017,Auto
18665169,63762170,Other causes,07/22/2017,Auto
17177153,28889442,Other causes,09/20/2017,Auto
84736739,61678713,Other driver error,12/03/2017,Auto
20110599,6234135,Other causes,04/05/2017,Auto
15635627,37251197,Other causes,08/10/2018,Auto
3374112,95057151,Natural causes,03/01/2018,Auto
78415715,16011067,Natural causes,10/10/2017,Auto
83080037,63446024,Driver error,01/13/2018,Auto
74017955,61885878,Driver error,12/30/2017,Auto
33372791,59248480,Other causes,06/18/2017,Auto
48874104,11123788,Natural causes,01/14/2017,Auto
61822144,45511318,Driver error,08/11/2017,Auto
95418320,23742797,Driver error,08/30/2018,Auto
26450621,59407693,Natural causes,05/21/2018,Auto
64622520,46459799,Natural causes,11/27/2017,Auto
32521691,92089192,Driver error,10/16/2018,Auto
39444603,28708429,Driver error,12/03/2017,Auto
48960366,75363718,Driver error,04/04/2018,Auto
80701300,15267466,Other causes,09/06/2018,Auto
13275896,38645590,Natural causes,08/04/2017,Auto
62816998,27334507,Other driver error,05/02/2017,Auto
85700566,85427127,Other causes,01/13/2018,Auto
81138909,9552601,Other causes,03/22/2017,Auto
31115028,5182265,Other driver error,03/28/2018,Auto
59843845,27490821,Driver error,10/03/2018,Auto
75471235,39605405,Natural causes,08/10/2018,Auto
37365245,5425811,Natural causes,01/14/2017,Auto
30886292,91660260,Other driver error,08/24/2017,Auto
20094340,30877914,Natural causes,09/07/2017,Auto
40948894,8981804,Other driver error,08/24/2017,Auto
59903277,18428326,Other causes,03/29/2017,Auto
4412055,80956687,Other causes,06/30/2018,Auto
63302691,81516433,Crime,05/21/2018,Auto
69473158,50068652,Driver error,08/30/2018,Auto
30943507,58428742,Driver error,05/21/2018,Auto
88072232,78382955,Other driver error,06/04/2017,Auto
17859000,49401942,Crime,02/10/2017,Auto
44758258,69139904,Driver error,06/18/2017,Auto
59389375,43043339,Other causes,12/17/2017,Auto
56357617,11023718,Natural causes,04/04/2018,Auto
82034436,76743826,Other causes,12/24/2017,Auto
85532819,50964521,Driver error,11/06/2017,Auto
23741962,73283463,Other causes,08/16/2018,Auto
96543848,64388927,Other driver error,08/31/2017,Auto
91135917,81102722,Other driver error,09/12/2018,Auto
524545,35782742,Other driver error,07/27/2018,Auto
89479887,75276533,Driver error,03/09/2017,Home
73495163,42320818,Driver error,12/03/2017,Auto
49889657,60904940,Natural causes,05/01/2018,Auto
96931053,32944599,Other causes,06/23/2018,Home
1300972,4881066,Crime,03/21/2018,Home
83887508,96406656,Crime,11/06/2017,Auto
53897607,89967218,Other causes,03/02/2017,Auto
92392817,63627029,Other driver error,12/24/2017,Auto
75086914,75778891,Other causes,04/10/2018,Auto
27868943,88804995,Other driver error,11/27/2017,Auto
42238302,73841606,Driver error,11/13/2017,Auto
83882449,49124611,Driver error,09/20/2017,Home
53191091,40460618,Crime,03/22/2017,Auto
55836042,64046224,Driver error,03/08/2018,Home
19796899,9124181,Other driver error,04/04/2018,Auto
42014103,42019165,Driver error,12/30/2017,Home
66632396,57175639,Driver error,08/11/2017,Auto
34778857,56413364,Driver error,04/25/2017,Auto
28437868,4257735,Other driver error,09/26/2018,Auto
85641672,98954915,Crime,03/14/2018,Auto
86985239,49758082,Driver error,06/18/2017,Auto
19409471,2434059,Other driver error,06/18/2017,Auto
98537509,70156112,Driver error,06/03/2018,Auto
36871042,25838638,Other causes,04/25/2017,Auto
62206180,16726169,Driver error,06/17/2018,Auto
6448629,74582054,Other causes,04/17/2018,Auto
30197131,78146904,Other driver error,06/17/2018,Auto
7988398,95997859,Driver error,07/22/2017,Auto
13687085,37688454,Driver error,01/13/2018,Auto
30864915,32756328,Driver error,05/28/2018,Auto
44665885,80167666,Other driver error,07/07/2018,Auto
14604149,2772206,Driver error,03/29/2017,Auto
9600820,41574198,Other causes,09/06/2018,Auto
54275114,51377827,Other driver error,05/14/2018,Auto
24065986,81369109,Natural causes,10/03/2018,Home
52208972,62827687,Other causes,02/02/2018,Home
13435761,22489374,Natural causes,04/18/2017,Auto
64916376,55881539,Other causes,01/27/2017,Auto
35895151,49545697,Driver error,03/08/2018,Auto
8201624,2248378,Natural causes,05/22/2017,Auto
55933927,21658094,Other causes,07/20/2018,Home
65899365,86096444,Driver error,07/14/2018,Auto
57025376,32067078,Other driver error,05/15/2017,Auto
92189083,96864459,Natural causes,05/28/2018,Auto
83836752,45600936,Other driver error,04/24/2018,Auto
43806629,85493235,Other driver error,07/07/2018,Home
7303971,65990431,Natural causes,06/03/2018,Auto
35189228,52113932,Driver error,06/17/2018,Home
47879133,33229705,Natural causes,02/22/2018,Auto
25550440,31609133,Natural causes,03/08/2018,Auto
38718253,48386458,Other causes,11/13/2017,Auto
44632301,37692448,Other driver error,01/06/2018,Auto
46691405,50552314,Other causes,07/22/2017,Auto
96395873,59164542,Crime,09/20/2017,Auto
25582668,35976362,Natural causes,06/11/2017,Auto
21969808,61950339,Natural causes,05/21/2018,Auto
56525103,86644908,Other driver error,04/17/2018,Auto
59510159,98940053,Other driver error,05/15/2017,Auto
76666463,49974494,Crime,08/11/2017,Auto
10330113,26308516,Other causes,12/17/2017,Auto
85250389,9129053,Other driver error,03/02/2017,Auto
17330419,13865732,Crime,03/16/2017,Auto
62935855,53902980,Other driver error,08/18/2017,Auto
27304494,52239485,Other causes,06/17/2018,Auto
15820948,53831641,Driver error,09/27/2017,Auto
25989608,97044473,Other driver error,06/18/2017,Auto
64214079,55084633,Other causes,06/18/2017,Auto
58468142,54580698,Natural causes,05/09/2017,Auto
12108789,39063220,Other causes,03/14/2018,Auto
25365364,37576598,Other causes,02/10/2017,Auto
