customer_id,police_report,claim_type,claim_amount,total_policy_claims,fraudulent
14433043,Yes,Material only,$2170,5.0,No
56590042,No,Injury only,$31498.5,4.0,Yes
43870673,Unknown,Material only,$1700,1.0,No
84734050,Unknown,Material only,$2220,1.0,No
73246256,No,Material only,$1020,1.0,No
2632562,Unknown,Material only,$1400,1.0,No
74125758,Unknown,Injury only,$22960,1.0,No
92752865,No,Injury only,,1.0,No
47086007,Yes,Injury only,$18400,1.0,No
33987747,No,Material and injury,$37524.5,1.0,Yes
37312925,Yes,Injury only,$16070,1.0,No
13233814,Unknown,Material and injury,$17230,1.0,No
32561536,No,Material and injury,$24564,1.0,Yes
73456835,No,Material only,$2599,1.0,Yes
84767457,Unknown,Material and injury,$23740,1.0,No
31901720,No,Material only,$1510,1.0,No
67885239,No,Material only,$2740,1.0,No
94448966,No,Injury only,$23760,1.0,No
94633091,No,Material only,$1640,1.0,No
90116906,No,Injury only,$23270,6.0,No
82832313,Yes,Injury only,$29060,1.0,No
87993949,Unknown,Injury only,$25783,2.0,Yes
61810954,Unknown,Material and injury,$36620,1.0,No
55782839,Unknown,Injury only,$21300,1.0,No
39587790,No,Material only,$2967,1.0,Yes
14293434,No,Material and injury,$44493.5,1.0,Yes
46620413,Unknown,Material only,$3070.5,1.0,Yes
53798973,No,Material only,$2560,1.0,No
15556454,No,Material only,$2070,1.0,No
61497833,No,Material only,$1759.5,4.0,Yes
92889077,No,Material only,$1771,5.0,Yes
19171044,Yes,Injury only,$17360,1.0,No
93291407,Unknown,Material only,$1368.5,1.0,Yes
96710523,Yes,Injury only,$19240,1.0,No
52542420,No,Material and injury,$14260,2.0,No
37741743,No,Material only,$1350,1.0,No
48145469,Unknown,Material only,$1860,1.0,No
25709472,Unknown,Injury only,$15440,1.0,No
58402401,Unknown,Material and injury,$32710,1.0,No
23092790,Unknown,Material only,$1380,1.0,No
62476442,No,Material and injury,,2.0,No
39943087,Unknown,Material only,$2510,1.0,No
41265642,No,Material only,,1.0,Yes
73383008,Unknown,Injury only,$44700.5,1.0,Yes
77896466,No,Material only,$1550,1.0,No
83526368,Unknown,Material only,$1850,3.0,No
31439710,No,Material only,$2760,1.0,No
30227653,No,Material only,$2740,1.0,No
86993944,Unknown,Injury only,$26480,1.0,No
65728108,Unknown,Material and injury,$47610,3.0,Yes
45539668,No,Material only,$2170,1.0,No
3159546,No,Injury only,$17590,4.0,No
88449349,No,Material only,$1080,1.0,No
35937389,Unknown,Material only,$2610,2.0,No
19441247,No,Material only,$1320,1.0,No
7208859,No,Material only,$1840,1.0,No
65950591,No,Material only,$2970,1.0,No
2327487,No,Material only,,5.0,No
30722342,Yes,Injury only,$17180,5.0,No
31289360,No,Material only,$2720,1.0,No
24826170,No,Material only,$2700,1.0,No
14860484,Unknown,Injury only,$14240,4.0,No
39642700,No,Material only,$2560,3.0,No
3689105,Yes,Injury only,$19440,4.0,No
58850120,Yes,Material and injury,$40180,1.0,No
76965994,No,Material only,$1260,1.0,No
14490971,No,Material only,$1880,4.0,No
88277241,Unknown,Injury only,,1.0,Yes
87386746,No,Material only,$2260,1.0,No
55157616,No,Material only,$2960,1.0,No
55593844,No,Material only,$1253.5,1.0,Yes
72556809,Yes,Material and injury,$32300,2.0,No
45653187,No,Material only,$1660,1.0,No
48538925,No,Injury only,$22420,1.0,No
68724425,No,Material only,$2150,3.0,No
50817031,Unknown,Material only,$2460,1.0,No
16836323,No,Material only,$1140,4.0,No
72701589,No,Material only,,1.0,No
88126167,Unknown,Injury only,$17050,1.0,No
50642114,Unknown,Injury only,$25030,1.0,No
32180678,Unknown,Material and injury,,4.0,No
74155265,No,Material only,$2080,1.0,No
26168099,No,Injury only,$38590,3.0,No
804961,No,Material and injury,$21190,1.0,No
25823839,Unknown,Injury only,$36180,1.0,No
61745840,No,Material and injury,$30930,1.0,No
86024944,Unknown,Material and injury,$47679,2.0,Yes
40080423,Unknown,Material only,$2440,1.0,No
14275512,Unknown,Injury only,$28060,1.0,No
70442756,No,Material only,$1850,1.0,No
36829984,Yes,Material and injury,$24750,1.0,No
68772500,Unknown,Material only,$2320,1.0,No
154557,No,Injury only,,1.0,Yes
97640137,Unknown,Injury only,$29600,1.0,No
49270602,No,Material only,$1790,1.0,No
25021031,Yes,Injury only,$31270,1.0,No
2590748,Unknown,Material and injury,$30530,2.0,No
98905793,Unknown,Material only,$3139.5,3.0,Yes
39495715,No,Material only,$2470,1.0,No
64840478,Unknown,Material and injury,$17290,1.0,No
30541131,Unknown,Material only,$1570,1.0,No
51503228,Unknown,Injury only,$14330,3.0,No
57959733,No,Material only,$2530,3.0,No
82415154,No,Material and injury,$15240,1.0,No
67861420,No,Material only,$1880,1.0,No
16811546,Unknown,Injury only,$37200,1.0,No
74840885,Unknown,Material only,$2060,5.0,No
95719884,Unknown,Material only,$1020,1.0,No
22856223,No,Material and injury,$40660,1.0,No
26965990,Unknown,Material only,$2310,1.0,No
48447568,No,Material and injury,$15920,1.0,No
16102401,Yes,Material only,$2710,1.0,No
26448215,No,Material only,$2290,1.0,No
40922910,No,Material only,$1180,4.0,No
43293983,No,Material only,$3059,1.0,Yes
51195864,Unknown,Material only,$1630,2.0,No
36395486,No,Material only,$3335,3.0,Yes
32850276,No,Material only,$1580,1.0,No
94041088,Unknown,Material only,$2645,1.0,Yes
90718924,No,Material and injury,$27560,1.0,No
51278451,Unknown,Material and injury,$20660,1.0,No
16868327,No,Material only,$1400,1.0,No
32269248,Yes,Injury only,$30350,1.0,No
35410919,No,Material only,$1740,3.0,No
20716946,No,Material and injury,$21830,1.0,No
90102508,No,Material only,$1280,1.0,No
40744509,No,Material and injury,$34770,4.0,No
51460517,Unknown,Material only,$1391.5,1.0,Yes
9677945,No,Material only,$1520,1.0,No
34297743,No,Material only,$1700,1.0,No
17682060,Unknown,Material and injury,$17020,1.0,No
29750601,Unknown,Injury only,$31980,1.0,No
97698815,Unknown,Material only,$1860,1.0,No
28920170,No,Material and injury,$41365.5,1.0,Yes
55572419,Yes,Injury only,$27520,1.0,No
77219712,No,Material and injury,$20200,1.0,No
39286853,Unknown,Injury only,$35830,1.0,No
47226965,No,Material only,$2600,4.0,No
68757979,No,Material only,$2410,1.0,No
69956308,Yes,Material only,$3312,4.0,Yes
47603757,No,Material only,$2980,1.0,No
83534717,No,Material only,$1680,1.0,No
40480522,Unknown,Material and injury,$26310,1.0,No
86597605,No,Material and injury,$37400,1.0,No
7829022,No,Material only,$2320,1.0,No
77985379,Yes,Material and injury,$27610,2.0,No
2826434,No,Injury only,$22100,1.0,No
16548727,Yes,Material only,$1080,3.0,No
94267140,No,Material only,$1590,1.0,No
5637733,Unknown,Material only,$2170,1.0,No
684748,No,Material only,$2920,2.0,No
65047878,Unknown,Material only,$1679,4.0,Yes
84614509,Unknown,Injury only,$18308,1.0,Yes
93766634,No,Injury only,$16940,1.0,No
68712439,No,Material only,$1600,1.0,No
88785895,Unknown,Material and injury,$39307,1.0,Yes
33924586,Unknown,Material and injury,$28750,1.0,No
1852176,Unknown,Material only,$1510,1.0,No
58107776,Yes,Material only,$1030,1.0,No
30743608,No,Material only,$2714,1.0,Yes
50530333,Unknown,Material only,$2415,3.0,Yes
29282358,No,Material and injury,$39280,2.0,No
55375167,Unknown,Material only,$1403,3.0,Yes
37692329,No,Material and injury,$34300,1.0,No
2753882,No,Material only,$2650,1.0,No
88219691,No,Injury only,$23960,1.0,No
67722830,No,Material only,$1529.5,3.0,Yes
11321295,No,Material only,$2460,2.0,No
28502965,No,Material only,$1620,1.0,No
51782731,Unknown,Material only,$2790,1.0,No
76395629,No,Material only,$1210,1.0,No
20960664,Yes,Injury only,$19676.5,1.0,Yes
79683883,No,Material and injury,$27266.5,1.0,Yes
33388786,Yes,Injury only,$33590,2.0,No
52361935,Yes,Material only,$2840,1.0,No
97038550,Unknown,Material and injury,$16790,1.0,No
25911554,No,Material only,$1322.5,3.0,Yes
43834942,Yes,Material and injury,$19900,1.0,No
17242900,No,Material only,$2440,1.0,No
54094880,No,Material only,$1529.5,1.0,Yes
59809467,Unknown,Material only,,,Yes
62204138,Unknown,Material only,$2691,1.0,Yes
93993324,No,Material only,$3128,1.0,Yes
84995304,Unknown,Material only,$3036,1.0,Yes
70955654,No,Material only,$1173,1.0,Yes
43274276,No,Material only,$1200,4.0,No
23236713,Yes,Injury only,$29960,1.0,No
76501371,Unknown,Material only,$1970,1.0,No
56554262,No,Material only,$2090,1.0,No
48123202,No,Material only,$2640,,No
93915431,No,Material and injury,$42124.5,1.0,Yes
38560100,No,Injury only,$21330,3.0,No
31544049,Unknown,Material only,$1817,1.0,Yes
68615086,No,Material and injury,$17670,1.0,No
55535045,No,Material only,$1110,1.0,No
17988592,No,Material and injury,$32407,1.0,Yes
4883962,Yes,Material only,$1460,1.0,No
33812279,Yes,Injury only,$41779.5,1.0,Yes
81854173,Unknown,Material only,$1850,1.0,No
24579061,No,Material only,$1770,1.0,No
29478976,No,Material only,$1160,1.0,No
10462042,No,Material only,$2410,1.0,No
52265112,No,Material only,$1520,2.0,No
53900680,Yes,Material and injury,$33900,2.0,No
69784779,Yes,Material and injury,$28740,1.0,No
26810768,No,Material and injury,$23980,3.0,No
82637319,Unknown,Material only,$1184.5,1.0,Yes
69546065,Unknown,Material only,$2104.5,1.0,Yes
67427492,No,Material only,$1040,1.0,No
18213216,Unknown,Material and injury,$21942,2.0,Yes
98204394,Unknown,Material only,$1550,6.0,No
63413368,No,Material only,$1740,2.0,No
91136854,No,Material only,$2240,4.0,No
11187680,Unknown,Material only,$2440,1.0,No
88205075,Unknown,Injury only,$16460,1.0,No
40728123,No,Material only,$2590,1.0,No
65176092,No,Material and injury,$37290,3.0,No
84229777,No,Material only,$3128,1.0,Yes
76093960,Unknown,Material only,$2700,2.0,No
36994344,No,Material only,$2280,1.0,No
68043300,Unknown,Material only,$2656.5,1.0,Yes
28901669,Yes,Injury only,$35178.5,1.0,Yes
86916099,No,Injury only,$19390,1.0,No
29826894,No,Material only,$2730,5.0,No
79637467,Yes,Injury only,$16700,1.0,No
36632227,Unknown,Material only,$2886.5,1.0,Yes
77510822,Unknown,Material only,,2.0,No
2651069,No,Material only,$1932,1.0,Yes
8150738,Unknown,Material only,$2210,1.0,No
67268108,Yes,Material and injury,$41280,2.0,No
53907868,Unknown,Material and injury,$26620,1.0,No
86246733,Unknown,Material and injury,$26520,2.0,No
45568489,Yes,Material and injury,$14480,3.0,No
28032985,No,Material only,$1800,2.0,No
33210182,Yes,Material only,$2020,1.0,No
24731784,No,Material only,$1260,1.0,No
36126424,Unknown,Material and injury,$20550,1.0,No
95452498,No,Material only,$2219.5,1.0,Yes
22756942,Yes,Injury only,$20310,1.0,No
62489316,No,Material only,$2330,1.0,No
4825461,Yes,Material and injury,$32960,1.0,No
63915259,Yes,Material and injury,$18530,1.0,No
6723724,Unknown,Material only,$1679,1.0,Yes
51719336,Unknown,Material only,$2070,1.0,Yes
89808931,No,Material only,$2750,1.0,No
55105629,No,Material only,$1860,1.0,No
79076502,Unknown,Material only,$1380,1.0,No
81131066,No,Material only,$1920,2.0,No
75995055,Yes,Injury only,$36350,1.0,No
24425429,No,Material only,$1450,1.0,No
51382348,No,Injury only,$39928,1.0,Yes
18842829,No,Material only,$2450,1.0,No
98180346,No,Material only,$2810,1.0,No
53013094,Unknown,Material only,,1.0,No
25263633,No,Material only,$2470,2.0,No
16444738,No,Material only,$1207.5,1.0,Yes
64231993,No,Material and injury,$29690,1.0,No
89530919,No,Material only,$2450,1.0,No
38011078,Unknown,Material only,$1940,1.0,No
76314493,No,Material only,,1.0,No
51975640,No,Material and injury,$32150,2.0,No
47593642,Unknown,Material only,$1750,1.0,No
42439009,Unknown,Injury only,$28950,1.0,No
51613894,Unknown,Material and injury,,1.0,No
49078798,No,Material only,$1350,1.0,No
17822772,Unknown,Injury only,$33200,1.0,No
94643289,No,Material and injury,$45287,1.0,Yes
47535244,No,Material only,$2530,1.0,Yes
70770204,Unknown,Injury only,$28050,1.0,No
92171044,No,Material only,$2277,1.0,Yes
98218159,No,Material only,$2840,1.0,No
24112592,No,Material only,$2130,1.0,No
97053819,No,Material only,$2070,1.0,No
88484857,No,Material only,$1900,,No
89965541,No,Material only,$2810,1.0,No
96431710,No,Material and injury,$24713.5,1.0,Yes
13059025,No,Material only,$2220,1.0,No
49481916,No,Material only,,2.0,Yes
10956208,No,Material only,$1210,1.0,No
43059280,Yes,Material and injury,$38970,1.0,No
92971195,No,Material only,$1140,1.0,No
97578924,No,Material only,$2360,1.0,No
81790039,No,Material and injury,$19640,1.0,No
36812323,Yes,Material and injury,$14170,1.0,No
63544225,No,Material only,$1100,1.0,No
4669941,Unknown,Injury only,$29900,1.0,Yes
64395359,Yes,Injury only,$20970,1.0,No
25634799,No,Material only,$2900,2.0,No
31654316,Unknown,Material and injury,$35800,3.0,No
49499709,No,Material only,$2130,2.0,No
45415342,No,Material and injury,$24080,1.0,No
72734097,Yes,Material and injury,$34590,1.0,No
94707309,No,Material only,$1870,3.0,No
84750181,No,Material only,$2370,4.0,No
58380749,Yes,Injury only,$26130,1.0,No
42345842,Unknown,Material only,$1150,1.0,Yes
54103924,Unknown,Material and injury,$23370,3.0,No
48099288,No,Material only,$2090,1.0,No
57896241,Unknown,Material and injury,$30420,1.0,No
70730377,No,Material only,$2750,2.0,No
6125426,No,Material only,,1.0,No
48227009,No,Material only,$1570,1.0,No
86308184,Yes,Material only,$1110,1.0,No
69065193,Unknown,Material and injury,$36075.5,4.0,Yes
79846638,No,Material only,$1260,1.0,No
38047917,Yes,Injury only,$22440,1.0,No
73611258,No,Injury only,$21620,1.0,No
14696479,No,Material only,$1540,1.0,No
25166037,Unknown,Injury only,$24610,1.0,No
1123356,No,Material only,$2507,5.0,Yes
97162684,Unknown,Material and injury,$20769,1.0,Yes
95055469,No,Material only,$2990,1.0,No
56985179,No,Material only,$2967,4.0,Yes
69039320,No,Material only,$1780,1.0,No
84514444,No,Injury only,$30840,5.0,No
79953263,Yes,Injury only,$32680,1.0,No
15557396,Yes,Material and injury,,3.0,No
95002919,No,Material and injury,$31110,1.0,No
7612094,No,Material only,$2771.5,1.0,Yes
53260501,No,Material only,$1000,1.0,No
92072156,Yes,Material only,$2970,1.0,No
77570823,No,Material only,$2230,1.0,No
69010101,Unknown,Material only,$3427,1.0,Yes
1223055,Yes,Injury only,$33490,3.0,No
9884792,Unknown,Injury only,$29630,1.0,No
1144598,Unknown,Injury only,$25010,1.0,No
59716520,No,Material only,$1020,1.0,No
59056552,Yes,Injury only,,1.0,No
25164999,No,Material only,$1909,1.0,Yes
70761779,Unknown,Injury only,$14460,6.0,No
62934102,Yes,Material and injury,$39280,3.0,No
11472207,Unknown,Material and injury,$44367,1.0,Yes
97856694,Unknown,Material only,$2392,1.0,Yes
86818440,Unknown,Material and injury,$31901,1.0,Yes
66433138,No,Material and injury,$21447.5,2.0,Yes
87806611,Unknown,Material only,$2950,1.0,No
36252121,No,Injury only,$22000,4.0,No
19916012,No,Material only,$1860,1.0,No
79440308,Unknown,Material only,$1620,1.0,No
23116437,No,Material only,,1.0,No
58957713,No,Material only,$2806,1.0,Yes
4798021,No,Material only,$1170,1.0,No
83441797,No,Material only,$1630,2.0,No
30154531,No,Material only,$3013,1.0,Yes
38117638,No,Material only,$2060,1.0,No
12112711,No,Material only,$1276.5,1.0,Yes
4652602,No,Material only,$1320,1.0,No
45187280,Yes,Injury only,$33030,2.0,No
77930023,No,Material only,,1.0,Yes
58934617,Yes,Injury only,$27002,3.0,Yes
41182960,No,Material only,$2060,1.0,No
64488618,Yes,Material only,$1630,1.0,No
59793026,Yes,Material and injury,$40210,1.0,No
86621072,No,Material only,$1173,1.0,Yes
47250458,No,Material only,$1630,2.0,No
35163792,Yes,Material and injury,$20080,2.0,No
93871952,Yes,Material and injury,$16880,3.0,No
32464636,No,Material only,$2323,1.0,Yes
7583158,Yes,Injury only,$19820,,No
80670612,Unknown,Injury only,$20630,5.0,No
21840201,Yes,Material only,$1510,1.0,No
29130403,No,Material only,,1.0,Yes
89806715,Unknown,Material only,$1710,1.0,No
56016139,Unknown,Material only,$2219.5,1.0,Yes
20028241,No,Material only,$2940,1.0,No
98341654,Unknown,Material only,$2370,1.0,No
44643917,Yes,Material and injury,$41320,,No
76185878,No,Material only,$3231.5,1.0,Yes
18665169,No,Injury only,$37500,2.0,No
17177153,Unknown,Material only,$2670,1.0,No
84736739,Yes,Material and injury,$35800,1.0,No
20110599,Unknown,Material only,$2050,1.0,No
15635627,Yes,Material only,,1.0,No
3374112,Yes,Material and injury,$25580,1.0,No
78415715,Unknown,Material and injury,$39370,1.0,No
83080037,Unknown,Injury only,$17250,1.0,No
74017955,Unknown,Material only,$2090,,No
33372791,No,Material only,$2430,1.0,No
48874104,No,Material only,$1700,1.0,No
61822144,Unknown,Material only,,1.0,No
95418320,No,Material only,$2820,1.0,No
26450621,No,Material only,$2960,1.0,No
64622520,No,Material only,$2170,3.0,No
32521691,No,Material only,$2320,4.0,No
39444603,No,Material only,$2320,1.0,No
48960366,No,Material and injury,$31450,1.0,No
80701300,Yes,Material only,$1150,2.0,Yes
13275896,No,Material and injury,$23450,1.0,No
62816998,No,Injury only,$13710,2.0,No
85700566,Unknown,Material and injury,$16100,1.0,No
81138909,Unknown,Material only,$2580,1.0,No
31115028,Unknown,Material only,$2600,1.0,No
59843845,No,Material and injury,$25730,2.0,No
75471235,No,Material and injury,$40540,1.0,No
37365245,No,Material only,$1500,2.0,No
30886292,Unknown,Material only,$2950,1.0,No
20094340,No,Material only,$1060,1.0,No
40948894,Yes,Injury only,$37170,,No
59903277,No,Material only,$2185,2.0,Yes
4412055,Unknown,Material and injury,$37869.5,4.0,Yes
63302691,No,Material only,$1820,1.0,No
69473158,No,Material only,$2070,1.0,No
30943507,No,Material and injury,$16040,1.0,No
88072232,Yes,Material and injury,$27310,3.0,No
17859000,No,Material only,$2550,1.0,No
44758258,Unknown,Material and injury,$27910,1.0,No
59389375,Yes,Injury only,$29480,3.0,No
56357617,Unknown,Material only,$1300,1.0,No
82034436,No,Injury only,$37630,1.0,No
85532819,Yes,Material and injury,$25950,3.0,No
23741962,Unknown,Material and injury,$27240,1.0,No
96543848,No,Injury only,$30340,1.0,No
91135917,No,Material only,$2710,1.0,No
524545,No,Injury only,$35250,3.0,No
89479887,Yes,Injury only,$38890,2.0,No
73495163,Yes,Material and injury,$22570,1.0,No
49889657,Unknown,Material only,$1140,1.0,No
96931053,Yes,Injury only,$38120,1.0,No
1300972,No,Material only,$2369,1.0,Yes
83887508,No,Material only,,3.0,Yes
53897607,Unknown,Material only,$1200,1.0,No
92392817,Unknown,Material only,$2081.5,1.0,Yes
75086914,No,Material only,$1050,1.0,No
27868943,No,Material only,$2550,2.0,No
42238302,Unknown,Material only,$2590,2.0,No
83882449,Yes,Material only,$1644.5,1.0,Yes
53191091,Unknown,Material only,$1265,1.0,Yes
55836042,No,Material only,$1863,1.0,Yes
19796899,Yes,Material and injury,$24667.5,1.0,Yes
42014103,No,Material only,$2288.5,4.0,Yes
66632396,No,Material only,$1810,1.0,No
34778857,Unknown,Material and injury,$30015,1.0,Yes
28437868,No,Material only,$1300,1.0,No
85641672,No,Material only,$1860,1.0,No
86985239,No,Material and injury,$40880,1.0,No
19409471,No,Material only,$1550,1.0,No
98537509,Unknown,Material and injury,$20033,3.0,Yes
36871042,No,Material and injury,$20230,1.0,No
62206180,No,Material only,$1670,2.0,No
6448629,Unknown,Material only,$2714,1.0,Yes
30197131,No,Injury only,$19297,1.0,Yes
7988398,Unknown,Injury only,$14720,1.0,No
13687085,Unknown,Injury only,$16760,1.0,No
30864915,No,Material only,$2440,1.0,No
44665885,Yes,Material and injury,$40170,1.0,No
14604149,Yes,Material and injury,$36350,1.0,No
9600820,Unknown,Injury only,$29830,1.0,No
54275114,Yes,Material and injury,$29530,1.0,No
24065986,Yes,Injury only,$34970,1.0,No
52208972,No,Material only,$2550,1.0,No
13435761,No,Material only,$2590,1.0,No
64916376,No,Material only,$2850,2.0,No
35895151,No,Material only,$2470,3.0,No
8201624,No,Material only,$2932.5,4.0,Yes
55933927,No,Material and injury,$27404.5,2.0,Yes
65899365,No,Material and injury,$34160,1.0,No
57025376,No,Material only,$1430,1.0,No
92189083,Yes,Injury only,$19960,4.0,No
83836752,No,Material only,$1480,2.0,No
43806629,No,Material only,$2960,3.0,No
7303971,No,Material only,$1170,1.0,No
35189228,Unknown,Material only,$1280,1.0,No
47879133,No,Material only,$1110,4.0,No
25550440,Unknown,Material and injury,$17721.5,1.0,Yes
38718253,Unknown,Injury only,$30060,1.0,No
44632301,Yes,Injury only,$44666,1.0,Yes
46691405,Unknown,Injury only,$28230,1.0,No
96395873,No,Material only,$2410,1.0,No
25582668,No,Material only,$1265,1.0,Yes
21969808,No,Material only,$1725,1.0,Yes
56525103,Unknown,Injury only,$19320,1.0,No
59510159,No,Material only,$2430,3.0,No
76666463,No,Material only,$1000,2.0,No
10330113,No,Material and injury,$29060,3.0,No
85250389,Unknown,Injury only,$24380,1.0,Yes
17330419,Unknown,Material and injury,$33210,1.0,No
62935855,No,Material only,$2370,1.0,No
27304494,Unknown,Material and injury,$26630,1.0,No
15820948,Yes,Material and injury,$14570,1.0,No
25989608,No,Material only,$1700,1.0,No
64214079,Yes,Material and injury,$30230,1.0,No
58468142,No,Material only,$1300,1.0,No
12108789,Yes,Material and injury,$23851,1.0,Yes
25365364,No,Material only,$1100,2.0,No
76339681,Unknown,Material only,$1910,1.0,No
97514724,No,Injury only,$19120,1.0,No
14501963,No,Material and injury,$47748,3.0,Yes
41673539,Yes,Material and injury,$44838.5,1.0,Yes
47730331,Unknown,Material only,$1580,1.0,No
91180828,Unknown,Material and injury,$28382,1.0,Yes
86237672,Unknown,Material only,$1530,1.0,No
47437882,Unknown,Material and injury,$27830,2.0,No
87092211,No,Material only,$2340,1.0,No
49820646,Unknown,Material and injury,$22011,2.0,Yes
77542013,No,Material only,$2540,1.0,No
40950455,No,Material only,$2790,1.0,No
97115629,No,Material only,$2910,1.0,No
30831279,Yes,Injury only,$20720,1.0,No
28866353,No,Material only,$2334.5,1.0,Yes
23142036,Yes,Material only,$1600,1.0,No
89986804,Yes,Material and injury,$37380,1.0,No
44467682,No,Material only,$1460,4.0,No
45812655,No,Material only,$1790,1.0,No
49531152,Unknown,Material only,$1040,1.0,No
5152503,No,Material only,$1759.5,4.0,Yes
41093135,Unknown,Material and injury,$29480,1.0,No
61806100,Unknown,Material only,$1040,2.0,No
81909700,No,Material only,$2440,1.0,No
7891758,No,Material only,$1140,1.0,No
95560169,Unknown,Injury only,$34950,1.0,No
48477566,No,Material only,$2980,1.0,No
84147585,Unknown,Material only,$2380,1.0,No
85357756,No,Material only,$2130,1.0,No
53539195,No,Material only,$2480,1.0,No
9775143,No,Material only,$2130,1.0,No
39959491,Unknown,Material only,$2720,1.0,No
69355027,Unknown,Material only,$2950,1.0,No
95639174,No,Material only,$2840,4.0,No
82028774,Unknown,Material and injury,$38065,4.0,Yes
48673624,Yes,Material and injury,$26440,2.0,No
41009394,No,Material only,,4.0,Yes
42726730,Unknown,Material and injury,$28400,1.0,No
18062339,Unknown,Material only,$1320,1.0,No
6540281,No,Material only,$2120,1.0,No
61582066,No,Material only,$2000,1.0,No
49058491,Unknown,Material only,$2150,1.0,No
3124373,Unknown,Material only,$1350,2.0,No
5345468,Unknown,Injury only,$18570,1.0,No
84147585,Yes,Injury only,$14430,4.0,No
85357756,Unknown,Material only,$2510,1.0,No
53539195,No,Injury only,$25040,1.0,No
47153140,No,Material only,$1700,1.0,No
34369658,No,Material only,$2330,1.0,No
